i, x, y_cpp, y_a, y_b, y_c, diff_ab, diff_ac, diff_bc
   2,      1.79029596,      1.83870280,      1.83870280,      1.83870280,      1.83870280, 0, 0, 0, 
   3,      2.02344084,      1.88180947,      1.88180947,      1.88180947,      1.88180947, 0, 0, 0, 
   4,      1.79364324,      1.87255013,      1.87255013,      1.87255001,      1.87255001, 1, 1, 0, 
   5,      1.86511636,      1.82472610,      1.82472610,      1.82472610,      1.82472610, 0, 0, 0, 
   6,      1.85441709,      1.70377934,      1.70377934,      1.70377946,      1.70377946, 1, 1, 0, 
   7,      1.38923740,      1.49338233,      1.49338233,      1.49338222,      1.49338222, 1, 1, 0, 
   8,      1.32290912,      1.26405108,      1.26405108,      1.26405108,      1.26405108, 0, 0, 0, 
   9,      0.98426932,      1.06457901,      1.06457901,      1.06457901,      1.06457901, 0, 0, 0, 
  10,      0.93891823,      0.88826758,      0.88826758,      0.88826752,      0.88826752, 1, 1, 0, 
  11,      0.69110096,      0.71223807,      0.71223795,      0.71223807,      0.71223807, 1, 1, 0, 
  12,      0.55438101,      0.53015846,      0.53015846,      0.53015846,      0.53015846, 0, 0, 0, 
  13,      0.29173654,      0.37679893,      0.37679893,      0.37679893,      0.37679893, 0, 0, 0, 
  14,      0.28598130,      0.27163145,      0.27163145,      0.27163148,      0.27163148, 1, 1, 0, 
  15,      0.22581351,      0.16575411,      0.16575411,      0.16575411,      0.16575411, 0, 0, 0, 
  16,      0.00563443,      0.01701067,      0.01701067,      0.01701067,      0.01701067, 0, 0, 0, 
  17,     -0.16101468,     -0.13728663,     -0.13728663,     -0.13728663,     -0.13728663, 0, 0, 0, 
  18,     -0.30681252,     -0.23981246,     -0.23981246,     -0.23981245,     -0.23981245, 1, 1, 0, 
  19,     -0.25159913,     -0.27743304,     -0.27743304,     -0.27743304,     -0.27743304, 0, 0, 0, 
  20,     -0.35130328,     -0.24981655,     -0.24981655,     -0.24981657,     -0.24981657, 1, 1, 0, 
  21,     -0.13585573,     -0.15359791,     -0.15359791,     -0.15359791,     -0.15359791, 0, 0, 0, 
  22,     -0.03261328,     -0.02034512,     -0.02034512,     -0.02034511,     -0.02034511, 1, 1, 0, 
  23,      0.14483336,      0.11259630,      0.11259630,      0.11259630,      0.11259630, 0, 0, 0, 
  24,      0.18555062,      0.26641810,      0.26641810,      0.26641810,      0.26641810, 0, 0, 0, 
  25,      0.45664719,      0.45896596,      0.45896596,      0.45896593,      0.45896593, 1, 1, 0, 
  26,      0.77607715,      0.62998283,      0.62998283,      0.62998283,      0.62998283, 0, 0, 0, 
  27,      0.61222720,      0.75616759,      0.75616759,      0.75616765,      0.75616765, 1, 1, 0, 
  28,      0.96221477,      0.89119601,      0.89119601,      0.89119601,      0.89119601, 0, 0, 0, 
  29,      1.01550424,      1.05081189,      1.05081189,      1.05081177,      1.05081177, 1, 1, 0, 
  30,      1.19884515,      1.21970916,      1.21970916,      1.21970916,      1.21970916, 0, 0, 0, 
  31,      1.46349740,      1.35428917,      1.35428917,      1.35428905,      1.35428905, 1, 1, 0, 
  32,      1.44405401,      1.38677263,      1.38677263,      1.38677263,      1.38677263, 0, 0, 0, 
  33,      1.30054080,      1.34611142,      1.34611142,      1.34611142,      1.34611142, 0, 0, 0, 
  34,      1.26904178,      1.30987680,      1.30987680,      1.30987692,      1.30987692, 1, 1, 0, 
  35,      1.41865695,      1.25423741,      1.25423741,      1.25423729,      1.25423729, 1, 1, 0, 
  36,      1.02293444,      1.16013551,      1.16013551,      1.16013563,      1.16013563, 1, 1, 0, 
  37,      1.08740926,      1.08048093,      1.08048093,      1.08048093,      1.08048093, 0, 0, 0, 
  38,      1.13125563,      0.97652572,      0.97652572,      0.97652572,      0.97652572, 0, 0, 0, 
  39,      0.72782278,      0.79174888,      0.79174888,      0.79174888,      0.79174888, 0, 0, 0, 
  40,      0.55301547,      0.59380627,      0.59380627,      0.59380627,      0.59380627, 0, 0, 0, 
  41,      0.47655156,      0.42722139,      0.42722139,      0.42722142,      0.42722142, 1, 1, 0, 
  42,      0.23405439,      0.26139662,      0.26139662,      0.26139659,      0.26139659, 1, 1, 0, 
  43,      0.10013074,      0.08942439,      0.08942439,      0.08942439,      0.08942439, 0, 0, 0, 
  44,     -0.08172545,     -0.07532675,     -0.07532675,     -0.07532675,     -0.07532675, 0, 0, 0, 
  45,     -0.25586158,     -0.22496988,     -0.22496988,     -0.22496989,     -0.22496989, 1, 1, 0, 
  46,     -0.32600629,     -0.36747772,     -0.36747772,     -0.36747772,     -0.36747772, 0, 0, 0, 
  47,     -0.53355247,     -0.50564468,     -0.50564474,     -0.50564468,     -0.50564468, 1, 1, 0, 
  48,     -0.68422407,     -0.60298818,     -0.60298818,     -0.60298824,     -0.60298824, 1, 1, 0, 
  49,     -0.59221774,     -0.64931494,     -0.64931494,     -0.64931500,     -0.64931500, 1, 1, 0, 
  50,     -0.71337968,     -0.67925102,     -0.67925102,     -0.67925107,     -0.67925107, 1, 1, 0, 
  51,     -0.71176565,     -0.68236810,     -0.68236804,     -0.68236810,     -0.68236810, 1, 1, 0, 
  52,     -0.68758076,     -0.61495852,     -0.61495852,     -0.61495852,     -0.61495852, 0, 0, 0, 
  53,     -0.45123619,     -0.48972574,     -0.48972574,     -0.48972571,     -0.48972571, 1, 1, 0, 
  54,     -0.34846526,     -0.35540223,     -0.35540223,     -0.35540223,     -0.35540223, 0, 0, 0, 
  55,     -0.27224475,     -0.22721492,     -0.22721492,     -0.22721492,     -0.22721492, 0, 0, 0, 
  56,     -0.01413935,     -0.10529205,     -0.10529205,     -0.10529205,     -0.10529205, 0, 0, 0, 
  57,     -0.10031554,      0.01965925,      0.01965925,      0.01965925,      0.01965925, 0, 0, 0, 
  58,      0.23886973,      0.16363524,      0.16363524,      0.16363524,      0.16363524, 0, 0, 0, 
  59,      0.28976446,      0.32337564,      0.32337564,      0.32337564,      0.32337564, 0, 0, 0, 
  60,      0.44128910,      0.50260675,      0.50260675,      0.50260675,      0.50260675, 0, 0, 0, 
  61,      0.81510389,      0.67506438,      0.67506438,      0.67506438,      0.67506438, 0, 0, 0, 
  62,      0.73563033,      0.78119141,      0.78119141,      0.78119135,      0.78119135, 1, 1, 0, 
  63,      0.91296452,      0.80187094,      0.80187094,      0.80187094,      0.80187094, 0, 0, 0, 
  64,      0.73171693,      0.76297355,      0.76297355,      0.76297355,      0.76297355, 0, 0, 0, 
  65,      0.66765469,      0.70886463,      0.70886463,      0.70886469,      0.70886469, 1, 1, 0, 
  66,      0.75916797,      0.62913048,      0.62913048,      0.62913048,      0.62913048, 0, 0, 0, 
  67,      0.45940208,      0.47223604,      0.47223604,      0.47223604,      0.47223604, 0, 0, 0, 
  68,      0.27113581,      0.24817431,      0.24817431,      0.24817434,      0.24817434, 1, 1, 0, 
  69,      0.01049429,      0.00369719,      0.00369719,      0.00369719,      0.00369719, 0, 0, 0, 
  70,     -0.29477882,     -0.21899404,     -0.21899404,     -0.21899404,     -0.21899404, 0, 0, 0, 
  71,     -0.36864066,     -0.41632438,     -0.41632438,     -0.41632438,     -0.41632438, 0, 0, 0, 
  72,     -0.57378197,     -0.64572299,     -0.64572299,     -0.64572299,     -0.64572299, 0, 0, 0, 
  73,     -0.98559690,     -0.93317682,     -0.93317682,     -0.93317682,     -0.93317682, 0, 0, 0, 
  74,     -1.17714667,     -1.24253535,     -1.24253535,     -1.24253535,     -1.24253535, 0, 0, 0, 
  75,     -1.64489269,     -1.53686047,     -1.53686047,     -1.53686047,     -1.53686047, 0, 0, 0, 
  76,     -1.72194576,     -1.81069016,     -1.81069016,     -1.81069028,     -1.81069028, 1, 1, 0, 
  77,     -2.13844466,     -2.08265424,     -2.08265424,     -2.08265448,     -2.08265448, 1, 1, 0, 
  78,     -2.32887340,     -2.36175013,     -2.36175013,     -2.36175013,     -2.36175013, 0, 0, 0, 
