i, x, y_cpp, y_a, y_b, y_c, diff_ab, diff_ac, diff_bc
   2,      1.79029596,      1.83870280,      1.83870280,      1.83870268,      1.83870268, 1, 1, 0, 
   3,      2.02344084,      1.88180947,      1.88180947,      1.88180947,      1.88180947, 0, 0, 0, 
   4,      1.79364324,      1.87255013,      1.87255013,      1.87255001,      1.87255001, 1, 1, 0, 
   5,      1.86511636,      1.82472610,      1.82472610,      1.82472610,      1.82472610, 0, 0, 0, 
   6,      1.85441709,      1.70377934,      1.70377934,      1.70377946,      1.70377946, 1, 1, 0, 
   7,      1.38923740,      1.49338233,      1.49338233,      1.49338222,      1.49338222, 1, 1, 0, 
   8,      1.32290912,      1.26405096,      1.26405096,      1.26405096,      1.26405096, 0, 0, 0, 
   9,      0.98426926,      1.06457901,      1.06457901,      1.06457901,      1.06457901, 0, 0, 0, 
  10,      0.93891811,      0.88826752,      0.88826752,      0.88826752,      0.88826752, 0, 0, 0, 
  11,      0.69110119,      0.71223807,      0.71223807,      0.71223807,      0.71223807, 0, 0, 0, 
  12,      0.55438089,      0.53015846,      0.53015846,      0.53015852,      0.53015852, 1, 1, 0, 
  13,      0.29173660,      0.37679887,      0.37679887,      0.37679887,      0.37679887, 0, 0, 0, 
  14,      0.28598106,      0.27163136,      0.27163136,      0.27163136,      0.27163136, 0, 0, 0, 
  15,      0.22581339,      0.16575402,      0.16575402,      0.16575402,      0.16575402, 0, 0, 0, 
  16,      0.00563443,      0.01701062,      0.01701062,      0.01701062,      0.01701062, 0, 0, 0, 
  17,     -0.16101468,     -0.13728663,     -0.13728663,     -0.13728663,     -0.13728663, 0, 0, 0, 
  18,     -0.30681252,     -0.23981248,     -0.23981248,     -0.23981248,     -0.23981248, 0, 0, 0, 
  19,     -0.25159919,     -0.27743310,     -0.27743310,     -0.27743307,     -0.27743307, 1, 1, 0, 
  20,     -0.35130340,     -0.24981658,     -0.24981660,     -0.24981658,     -0.24981658, 1, 1, 0, 
  21,     -0.13585562,     -0.15359786,     -0.15359786,     -0.15359786,     -0.15359786, 0, 0, 0, 
  22,     -0.03261322,     -0.02034501,     -0.02034501,     -0.02034501,     -0.02034501, 1, 1, 0, 
  23,      0.14483353,      0.11259648,      0.11259648,      0.11259648,      0.11259648, 0, 0, 0, 
  24,      0.18555087,      0.26641831,      0.26641831,      0.26641831,      0.26641831, 0, 0, 0, 
  25,      0.45664746,      0.45896605,      0.45896605,      0.45896608,      0.45896608, 1, 1, 0, 
  26,      0.77607703,      0.62998289,      0.62998289,      0.62998289,      0.62998289, 0, 0, 0, 
  27,      0.61222714,      0.75616765,      0.75616765,      0.75616759,      0.75616759, 1, 1, 0, 
  28,      0.96221477,      0.89119601,      0.89119601,      0.89119601,      0.89119601, 0, 0, 0, 
  29,      1.01550436,      1.05081189,      1.05081189,      1.05081189,      1.05081189, 0, 0, 0, 
  30,      1.19884503,      1.21970904,      1.21970904,      1.21970904,      1.21970904, 0, 0, 0, 
  31,      1.46349728,      1.35428905,      1.35428905,      1.35428905,      1.35428905, 0, 0, 0, 
  32,      1.44405401,      1.38677263,      1.38677263,      1.38677263,      1.38677263, 0, 0, 0, 
  33,      1.30054069,      1.34611142,      1.34611142,      1.34611142,      1.34611142, 0, 0, 0, 
  34,      1.26904202,      1.30987692,      1.30987692,      1.30987692,      1.30987692, 0, 0, 0, 
  35,      1.41865683,      1.25423741,      1.25423741,      1.25423729,      1.25423729, 1, 1, 0, 
  36,      1.02293444,      1.16013551,      1.16013551,      1.16013551,      1.16013551, 0, 0, 0, 
  37,      1.08740926,      1.08048093,      1.08048093,      1.08048081,      1.08048081, 1, 1, 0, 
  38,      1.13125527,      0.97652555,      0.97652555,      0.97652555,      0.97652555, 0, 0, 0, 
  39,      0.72782290,      0.79174882,      0.79174882,      0.79174876,      0.79174876, 1, 1, 0, 
  40,      0.55301511,      0.59380627,      0.59380627,      0.59380627,      0.59380627, 0, 0, 0, 
  41,      0.47655198,      0.42722148,      0.42722148,      0.42722148,      0.42722148, 0, 0, 0, 
  42,      0.23405421,      0.26139677,      0.26139677,      0.26139677,      0.26139677, 0, 0, 0, 
  43,      0.10013139,      0.08942460,      0.08942460,      0.08942460,      0.08942460, 0, 0, 0, 
  44,     -0.08172548,     -0.07532661,     -0.07532661,     -0.07532661,     -0.07532661, 0, 0, 0, 
  45,     -0.25586161,     -0.22496986,     -0.22496983,     -0.22496986,     -0.22496986, 1, 1, 0, 
  46,     -0.32600617,     -0.36747777,     -0.36747777,     -0.36747777,     -0.36747777, 0, 0, 0, 
  47,     -0.53355277,     -0.50564480,     -0.50564480,     -0.50564480,     -0.50564480, 0, 0, 0, 
  48,     -0.68422407,     -0.60298830,     -0.60298830,     -0.60298830,     -0.60298830, 0, 0, 0, 
  49,     -0.59221786,     -0.64931506,     -0.64931506,     -0.64931506,     -0.64931506, 0, 0, 0, 
  50,     -0.71337980,     -0.67925107,     -0.67925107,     -0.67925107,     -0.67925107, 0, 0, 0, 
  51,     -0.71176571,     -0.68236816,     -0.68236816,     -0.68236810,     -0.68236810, 1, 1, 0, 
  52,     -0.68758047,     -0.61495852,     -0.61495852,     -0.61495852,     -0.61495852, 0, 0, 0, 
  53,     -0.45123655,     -0.48972580,     -0.48972580,     -0.48972577,     -0.48972577, 1, 1, 0, 
  54,     -0.34846511,     -0.35540235,     -0.35540235,     -0.35540235,     -0.35540235, 0, 0, 0, 
  55,     -0.27224523,     -0.22721508,     -0.22721508,     -0.22721508,     -0.22721508, 0, 0, 0, 
  56,     -0.01413941,     -0.10529211,     -0.10529211,     -0.10529211,     -0.10529211, 0, 0, 0, 
  57,     -0.10031521,      0.01965930,      0.01965930,      0.01965930,      0.01965930, 0, 0, 0, 
  58,      0.23886961,      0.16363527,      0.16363527,      0.16363527,      0.16363527, 0, 0, 0, 
  59,      0.28976458,      0.32337558,      0.32337558,      0.32337558,      0.32337558, 0, 0, 0, 
  60,      0.44128865,      0.50260669,      0.50260669,      0.50260669,      0.50260669, 0, 0, 0, 
  61,      0.81510407,      0.67506444,      0.67506444,      0.67506444,      0.67506444, 0, 0, 0, 
  62,      0.73563075,      0.78119153,      0.78119153,      0.78119147,      0.78119147, 1, 1, 0, 
  63,      0.91296434,      0.80187100,      0.80187100,      0.80187100,      0.80187100, 0, 0, 0, 
  64,      0.73171699,      0.76297361,      0.76297361,      0.76297355,      0.76297355, 1, 1, 0, 
  65,      0.66765487,      0.70886463,      0.70886463,      0.70886463,      0.70886463, 0, 0, 0, 
  66,      0.75916761,      0.62913036,      0.62913036,      0.62913036,      0.62913036, 0, 0, 0, 
  67,      0.45940197,      0.47223595,      0.47223595,      0.47223592,      0.47223592, 1, 1, 0, 
  68,      0.27113575,      0.24817435,      0.24817435,      0.24817437,      0.24817437, 1, 1, 0, 
  69,      0.01049453,      0.00369740,      0.00369740,      0.00369740,      0.00369740, 0, 0, 0, 
  70,     -0.29477817,     -0.21899384,     -0.21899384,     -0.21899384,     -0.21899384, 0, 0, 0, 
  71,     -0.36864108,     -0.41632435,     -0.41632435,     -0.41632432,     -0.41632432, 1, 1, 0, 
  72,     -0.57378209,     -0.64572299,     -0.64572299,     -0.64572299,     -0.64572299, 0, 0, 0, 
  73,     -0.98559654,     -0.93317676,     -0.93317676,     -0.93317676,     -0.93317676, 0, 0, 0, 
  74,     -1.17714667,     -1.24253523,     -1.24253523,     -1.24253535,     -1.24253535, 1, 1, 0, 
  75,     -1.64489293,     -1.53686047,     -1.53686047,     -1.53686047,     -1.53686047, 0, 0, 0, 
  76,     -1.72194541,     -1.81068993,     -1.81068993,     -1.81069005,     -1.81069005, 1, 1, 0, 
  77,     -2.13844419,     -2.08265376,     -2.08265376,     -2.08265400,     -2.08265400, 1, 1, 0, 
  78,     -2.32887244,     -2.36174965,     -2.36174965,     -2.36174965,     -2.36174965, 0, 0, 0, 
  79,     -2.64363217,     -2.62284613,     -2.62284613,     -2.62284613,     -2.62284613, 0, 0, 0, 
  80,     -2.96450901,     -2.77990651,     -2.77990651,     -2.77990627,     -2.77990627, 1, 1, 0, 
  81,     -2.79177332,     -2.79509950,     -2.79509950,     -2.79509974,     -2.79509974, 1, 1, 0, 
  82,     -2.62095213,     -2.79839420,     -2.79839420,     -2.79839420,     -2.79839420, 0, 0, 0, 
  83,     -2.98547745,     -2.85953569,     -2.85953569,     -2.85953569,     -2.85953569, 0, 0, 0, 
  84,     -2.97508097,     -2.84062028,     -2.84062028,     -2.84062004,     -2.84062004, 1, 1, 0, 
  85,     -2.66380119,     -2.66326332,     -2.66326332,     -2.66326332,     -2.66326332, 0, 0, 0, 
  86,     -2.38136959,     -2.42695260,     -2.42695260,     -2.42695260,     -2.42695260, 0, 0, 0, 
  87,     -2.21812439,     -2.20018888,     -2.20018888,     -2.20018888,     -2.20018888, 0, 0, 0, 
  88,     -2.04024148,     -1.94161737,     -1.94161737,     -1.94161749,     -1.94161749, 1, 1, 0, 
  89,     -1.54403043,     -1.62829328,     -1.62829328,     -1.62829351,     -1.62829351, 1, 1, 0, 
  90,     -1.39444172,     -1.28073287,     -1.28073287,     -1.28073287,     -1.28073287, 0, 0, 0, 
  91,     -0.83165437,     -0.91866201,     -0.91866201,     -0.91866201,     -0.91866201, 0, 0, 0, 
  92,     -0.58209497,     -0.56697536,     -0.56697536,     -0.56697536,     -0.56697536, 0, 0, 0, 
  93,     -0.25848868,     -0.21191064,     -0.21191064,     -0.21191065,     -0.21191065, 1, 1, 0, 
  94,      0.17597795,      0.17802233,      0.17802233,      0.17802233,      0.17802233, 0, 0, 0, 
  95,      0.61648417,      0.56654549,      0.56654549,      0.56654549,      0.56654549, 0, 0, 0, 
  96,      0.94260275,      0.88413560,      0.88413560,      0.88413560,      0.88413560, 0, 0, 0, 
  97,      1.14998913,      1.11590040,      1.11590040,      1.11590028,      1.11590028, 1, 1, 0, 
  98,      1.24868202,      1.31443036,      1.31443036,      1.31443048,      1.31443048, 1, 1, 0, 
  99,      1.57284677,      1.51787913,      1.51787913,      1.51787925,      1.51787925, 1, 1, 0, 
 100,      1.70484710,      1.70934200,      1.70934200,      1.70934200,      1.70934200, 0, 0, 0, 
 101,      1.88488054,      1.85405791,      1.85405791,      1.85405779,      1.85405779, 1, 1, 0, 
